Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Lettland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;7485;AB012C021
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Litauen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;7811;AB012C022
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Ungarn;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;10934;AB012C023
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Polen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9204;AB012C024
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Rumänien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;5330;AB012C025
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Kroatien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9641;AB012C026
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Schweden;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;24774;AB012C027
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Slowakische Republik;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;10252;AB012C028
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Vereinigtes Königreich;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23104;AB012C029
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Norwegen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;31308;AB012C030
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Schweiz;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;31049;AB012C031
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, USA;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;30703;AB012C032
Jahr;2001;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Japan;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23083;AB012C033
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, EU-27;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;19878;AB012C000
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, EA;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;22487;AB012C001
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Belgien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;24819;AB012C002
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Zypern;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;19307;AB012C003
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Deutschland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;24182;AB012C004
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Irland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;28869;AB012C005
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Griechenland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;18536;AB012C006
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Spanien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;19979;AB012C007
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Frankreich;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23382;AB012C008
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Italien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23540;AB012C009
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Luxemburg;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;47958;AB012C010
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Niederlande;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;28233;AB012C011
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Malta;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;16066;AB012C012
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Österreich;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;25554;AB012C013
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Portugal;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;16684;AB012C014
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Slowenien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;16586;AB012C015
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Finnland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23445;AB012C016
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Bulgarien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;6356;AB012C017
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Dänemark;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;25113;AB012C018
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Tschechische Republik;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;14954;AB012C019
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Estland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9531;AB012C020
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Lettland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;8262;AB012C021
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Litauen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;8590;AB012C022
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Ungarn;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;11906;AB012C023
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Polen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9674;AB012C024
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Rumänien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;5885;AB012C025
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Kroatien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;10462;AB012C026
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Schweden;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;25347;AB012C027
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Slowakische Republik;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;10907;AB012C028
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Vereinigtes Königreich;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23843;AB012C029
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Norwegen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;31192;AB012C030
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Schweiz;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;31482;AB012C031
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, USA;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;30516;AB012C032
Jahr;2002;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Japan;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23688;AB012C033
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, EU-27;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;20336;AB012C000
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, EA;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;22902;AB012C001
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Belgien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;25395;AB012C002
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Zypern;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;19932;AB012C003
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Deutschland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;24850;AB012C004
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Irland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;29783;AB012C005
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Griechenland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;19618;AB012C006
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Spanien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;20557;AB012C007
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Frankreich;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23132;AB012C008
