Car-Model,Registrations,Month,Year
Citroen,555,October,2019
Citroen,446,November,2019
Citroen,573,December,2019
Citroen,614,January,2020
Citroen,529,February,2020
Citroen,218,March,2020
Citroen,273,April,2020
Citroen,559,May,2020
Citroen,642,June,2020
Citroen,494,July,2020
Citroen,439,August,2020
Citroen,463,September,2020
Citroen,526,October,2020
Citroen,504,November,2020
Citroen,678,December,2020
Citroen,192,January,2021
Citroen,411,February,2021
Citroen,775,March,2021
Citroen,508,April,2021
Citroen,510,May,2021
Citroen,570,June,2021
Citroen,351,July,2021
Citroen,313,August,2021
Citroen,424,September,2021
Citroen,288,October,2021
Citroen,310,November,2021
Citroen,386,December,2021
Citroen,222,January,2022
Citroen,365,February,2022
Citroen,396,March,2022
Citroen,178,April,2022
Citroen,193,May,2022
Citroen,434,June,2022
Citroen,565,July,2022
Citroen,509,August,2022
Citroen,287,September,2022
Citroen,196,October,2022
Citroen,392,November,2022
Citroen,281,December,2022
Citroen,316,January,2023
Citroen,355,February,2023
Citroen,454,March,2023
Citroen,361,April,2023
Citroen,277,May,2023
Citroen,521,June,2023
Citroen,205,July,2023
Citroen,258,August,2023
Citroen,190,September,2023
Citroen,183,October,2023
Citroen,187,November,2023
Citroen,110,December,2023
Citroen,210,January,2024
Citroen,362,February,2024
Citroen,260,March,2024
Citroen,326,April,2024
Citroen,377,May,2024
Citroen,605,June,2024
Citroen,314,July,2024
Citroen,134,August,2024
Cupra (E),38,September,2020
Cupra (E),34,October,2020
Cupra (E),48,November,2020
Cupra (E),28,December,2020
Cupra (E),102,January,2021
Cupra (E),124,February,2021
Cupra (E),170,March,2021
Cupra (E),109,April,2021
Cupra (E),170,May,2021
Cupra (E),164,June,2021
Cupra (E),85,July,2021
Cupra (E),157,August,2021
Cupra (E),144,September,2021
Cupra (E),108,October,2021
Cupra (E),394,November,2021
Cupra (E),256,December,2021
Cupra (E),381,January,2022
Cupra (E),325,February,2022
Cupra (E),432,March,2022
Cupra (E),454,April,2022
Cupra (E),611,May,2022
Cupra (E),583,June,2022
Cupra (E),440,July,2022
Cupra (E),438,August,2022
Cupra (E),716,September,2022
Cupra (E),324,October,2022
Cupra (E),347,November,2022
Cupra (E),247,December,2022
Cupra (E),538,January,2023
Cupra (E),485,February,2023
Cupra (E),694,March,2023
Cupra (E),583,April,2023
Cupra (E),793,May,2023
Cupra (E),682,June,2023
Cupra (E),666,July,2023
Cupra (E),603,August,2023
Cupra (E),848,September,2023
Cupra (E),681,October,2023
Cupra (E),351,November,2023
Cupra (E),299,December,2023
Cupra (E),484,January,2024
Cupra (E),306,February,2024
Cupra (E),576,March,2024
Cupra (E),454,April,2024
Cupra (E),596,May,2024
Cupra (E),995,June,2024
Cupra (E),433,July,2024
Cupra (E),395,August,2024
Dacia (RO),411,January,2012
Dacia (RO),388,February,2012
Dacia (RO),504,March,2012
Dacia (RO),377,April,2012
Dacia (RO),531,May,2012
Dacia (RO),632,June,2012
Dacia (RO),538,July,2012
Dacia (RO),439,August,2012
Dacia (RO),451,September,2012
Dacia (RO),737,October,2012
Dacia (RO),727,November,2012
Dacia (RO),487,December,2012
Dacia (RO),481,January,2013
Dacia (RO),409,February,2013
Dacia (RO),547,March,2013
Dacia (RO),669,April,2013
Dacia (RO),696,May,2013
Dacia (RO),916,June,2013
Dacia (RO),653,July,2013
Dacia (RO),547,August,2013
Dacia (RO),489,September,2013
Dacia (RO),952,October,2013
Dacia (RO),578,November,2013
Dacia (RO),611,December,2013
Dacia (RO),714,January,2014
Dacia (RO),505,February,2014
Dacia (RO),654,March,2014
Dacia (RO),814,April,2014
Dacia (RO),820,May,2014
Dacia (RO),954,June,2014
Dacia (RO),647,July,2014
Dacia (RO),501,August,2014
Dacia (RO),539,September,2014
Dacia (RO),579,October,2014
Dacia (RO),675,November,2014
Dacia (RO),536,December,2014
Dacia (RO),647,January,2015
Dacia (RO),425,February,2015
Dacia (RO),773,March,2015
Dacia (RO),753,April,2015
Dacia (RO),695,May,2015
Dacia (RO),759,June,2015
Dacia (RO),538,July,2015
Dacia (RO),348,August,2015
Dacia (RO),534,September,2015
Dacia (RO),701,October,2015
Dacia (RO),531,November,2015
Dacia (RO),507,December,2015
Dacia (RO),773,January,2016
Dacia (RO),449,February,2016
Dacia (RO),667,March,2016
Dacia (RO),646,April,2016
Dacia (RO),640,May,2016
Dacia (RO),1105,June,2016
Dacia (RO),853,July,2016
Dacia (RO),543,August,2016
Dacia (RO),593,September,2016
Dacia (RO),438,October,2016
Dacia (RO),613,November,2016
Dacia (RO),579,December,2016
Dacia (RO),719,January,2017
Dacia (RO),662,February,2017
Dacia (RO),815,March,2017
Dacia (RO),793,April,2017
Dacia (RO),997,May,2017
Dacia (RO),1055,June,2017
Dacia (RO),830,July,2017
Dacia (RO),683,August,2017
Dacia (RO),633,September,2017
Dacia (RO),510,October,2017
Dacia (RO),639,November,2017
Dacia (RO),794,December,2017
Dacia (RO),699,January,2018
Dacia (RO),663,February,2018
Dacia (RO),986,March,2018
Dacia (RO),924,April,2018
Dacia (RO),1058,May,2018
Dacia (RO),1251,June,2018
Dacia (RO),930,July,2018
Dacia (RO),925,August,2018
Dacia (RO),274,September,2018
Dacia (RO),512,October,2018
Dacia (RO),658,November,2018
Dacia (RO),715,December,2018
Dacia (RO),783,January,2019
Dacia (RO),739,February,2019
Dacia (RO),871,March,2019
Dacia (RO),976,April,2019
Dacia (RO),950,May,2019
Dacia (RO),905,June,2019
Dacia (RO),943,July,2019
Dacia (RO),598,August,2019
Dacia (RO),584,September,2019
Dacia (RO),530,October,2019
Dacia (RO),643,November,2019
Dacia (RO),624,December,2019
Dacia (RO),560,January,2020
Dacia (RO),518,February,2020
Dacia (RO),245,March,2020
Dacia (RO),314,April,2020
Dacia (RO),694,May,2020
Dacia (RO),706,June,2020
Dacia (RO),603,July,2020
Dacia (RO),430,August,2020
Dacia (RO),517,September,2020
Dacia (RO),799,October,2020
Dacia (RO),628,November,2020
Dacia (RO),829,December,2020
Dacia (RO),238,January,2021
Dacia (RO),566,February,2021
Dacia (RO),688,March,2021
Dacia (RO),400,April,2021
Dacia (RO),387,May,2021
Dacia (RO),584,June,2021
Dacia (RO),875,July,2021
Dacia (RO),501,August,2021
Dacia (RO),589,September,2021
Dacia (RO),441,October,2021
Dacia (RO),638,November,2021
Dacia (RO),747,December,2021
Dacia (RO),667,January,2022
Dacia (RO),365,February,2022
Dacia (RO),521,March,2022
Dacia (RO),435,April,2022
Dacia (RO),361,May,2022
Dacia (RO),960,June,2022
Dacia (RO),1052,July,2022
Dacia (RO),916,August,2022
Dacia (RO),681,September,2022
Dacia (RO),543,October,2022
Dacia (RO),553,November,2022
Dacia (RO),624,December,2022
Dacia (RO),645,January,2023
Dacia (RO),909,February,2023
Dacia (RO),1088,March,2023
Dacia (RO),712,April,2023
Dacia (RO),651,May,2023
Dacia (RO),745,June,2023
Dacia (RO),664,July,2023
Dacia (RO),780,August,2023
Dacia (RO),866,September,2023
Dacia (RO),931,October,2023
Dacia (RO),897,November,2023
Dacia (RO),688,December,2023
Dacia (RO),918,January,2024
Dacia (RO),1001,February,2024
Dacia (RO),1130,March,2024
Dacia (RO),1067,April,2024
Dacia (RO),814,May,2024
Dacia (RO),986,June,2024
Dacia (RO),834,July,2024
Dacia (RO),813,August,2024
Daewoo,117,January,2000
Daewoo,113,February,2000
Daewoo,148,March,2000
Daewoo,133,April,2000
Daewoo,148,May,2000
Daewoo,101,June,2000
Daewoo,103,July,2000
Daewoo,111,August,2000
Daewoo,157,September,2000
Daewoo,129,October,2000
Daewoo,105,November,2000
Daewoo,61,December,2000
Daewoo,78,January,2001
Daewoo,74,February,2001
Daewoo,88,March,2001
Daewoo,80,April,2001
Daewoo,93,May,2001
Daewoo,77,June,2001
Daewoo,64,July,2001
Daewoo,60,August,2001
Daewoo,42,September,2001
Daewoo,60,October,2001
Daewoo,45,November,2001
Daewoo,44,December,2001
Daewoo,36,January,2002
Daewoo,39,February,2002
Daewoo,80,March,2002
Daewoo,85,April,2002
Daewoo,71,May,2002
Daewoo,38,June,2002
Daewoo,78,July,2002
Daewoo,36,August,2002
Daewoo,90,September,2002
Daewoo,90,October,2002
Daewoo,69,November,2002
Daewoo,28,December,2002
Daewoo,63,January,2003
Daewoo,59,February,2003
Daewoo,98,March,2003
Daewoo,109,April,2003
Daewoo,104,May,2003
Daewoo,119,June,2003
Daewoo,137,July,2003
Daewoo,99,August,2003
Daewoo,109,September,2003
Daewoo,164,October,2003
Daewoo,110,November,2003
Daewoo,81,December,2003
Daewoo,81,January,2004
Daewoo,92,February,2004
Daewoo,217,March,2004
Daewoo,198,April,2004
Daewoo,227,May,2004
Daewoo,314,June,2004
Daewoo,158,July,2004
Daewoo,175,August,2004
Daewoo,342,September,2004
Daewoo,314,October,2004
Daewoo,200,November,2004
Daewoo,155,December,2004
Daihatsu (F),12,June,2011
Daihatsu (F),1,July,2011
Daihatsu (F),1,August,2011
Daihatsu (F),2,September,2011
Daihatsu (F),2,November,2011
Daihatsu (F),1,January,2012
Daihatsu (F),1,February,2012
Daihatsu (F),2,March,2012
Daihatsu (F),1,April,2012
Daihatsu (F),1,June,2012
Daihatsu (F),1,August,2012
Daihatsu (F),1,September,2012
Daihatsu (I),2,December,2000
Daihatsu (J),84,January,2000
Daihatsu (J),52,February,2000
Daihatsu (J),54,March,2000
Daihatsu (J),76,April,2000
Daihatsu (J),65,May,2000
Daihatsu (J),52,June,2000
Daihatsu (J),35,July,2000
Daihatsu (J),42,August,2000
Daihatsu (J),53,September,2000
Daihatsu (J),60,October,2000
Daihatsu (J),54,November,2000
Daihatsu (J),31,December,2000
Daihatsu (J),60,January,2001
Daihatsu (J),35,February,2001
Daihatsu (J),69,March,2001
Daihatsu (J),39,April,2001
Daihatsu (J),38,May,2001
Daihatsu (J),34,June,2001
Daihatsu (J),41,July,2001
Daihatsu (J),35,August,2001
Daihatsu (J),24,September,2001
Daihatsu (J),38,October,2001
Daihatsu (J),29,November,2001
Daihatsu (J),43,December,2001
Daihatsu (J),32,January,2002
Daihatsu (J),26,February,2002
Daihatsu (J),36,March,2002
Daihatsu (J),27,April,2002
Daihatsu (J),41,May,2002
Daihatsu (J),49,June,2002
Daihatsu (J),43,July,2002
Daihatsu (J),28,August,2002
Daihatsu (J),26,September,2002
Daihatsu (J),42,October,2002
Daihatsu (J),28,November,2002
Daihatsu (J),24,December,2002
Daihatsu (J),31,January,2003
Daihatsu (J),33,February,2003
Daihatsu (J),36,March,2003
Daihatsu (J),41,April,2003
Daihatsu (J),48,May,2003
Daihatsu (J),36,June,2003
Daihatsu (J),47,July,2003
Daihatsu (J),42,August,2003
Daihatsu (J),51,September,2003
Daihatsu (J),49,October,2003
Daihatsu (J),36,November,2003
Daihatsu (J),22,December,2003
Daihatsu (J),25,January,2004
Daihatsu (J),31,February,2004
Daihatsu (J),44,March,2004
Daihatsu (J),61,April,2004
Daihatsu (J),37,May,2004
Daihatsu (J),47,June,2004
Daihatsu (J),47,July,2004
Daihatsu (J),43,August,2004
Daihatsu (J),45,September,2004
Daihatsu (J),39,October,2004
Daihatsu (J),39,November,2004
Daihatsu (J),31,December,2004
Daihatsu (J),45,January,2005
Daihatsu (J),49,February,2005
Daihatsu (J),72,March,2005
Daihatsu (J),89,April,2005
Daihatsu (J),72,May,2005
Daihatsu (J),84,June,2005
Daihatsu (J),54,July,2005
Daihatsu (J),52,August,2005
Daihatsu (J),77,September,2005
Daihatsu (J),55,October,2005
Daihatsu (J),47,November,2005
Daihatsu (J),29,December,2005
Daihatsu (J),44,January,2006
Daihatsu (J),41,February,2006
Daihatsu (J),61,March,2006
Daihatsu (J),85,April,2006
Daihatsu (J),100,May,2006
Daihatsu (J),111,June,2006
Daihatsu (J),91,July,2006
Daihatsu (J),118,August,2006
Daihatsu (J),155,September,2006
Daihatsu (J),150,October,2006
Daihatsu (J),141,November,2006
Daihatsu (J),57,December,2006
Daihatsu (J),99,January,2007
Daihatsu (J),96,February,2007
Daihatsu (J),123,March,2007
Daihatsu (J),118,April,2007
Daihatsu (J),95,May,2007
Daihatsu (J),82,June,2007
Daihatsu (J),83,July,2007
Daihatsu (J),106,August,2007
Daihatsu (J),123,September,2007
Daihatsu (J),66,October,2007
Daihatsu (J),102,November,2007
Daihatsu (J),113,December,2007
Daihatsu (J),60,January,2008
Daihatsu (J),68,February,2008
Daihatsu (J),85,March,2008
Daihatsu (J),82,April,2008
Daihatsu (J),77,May,2008
Daihatsu (J),94,June,2008
Daihatsu (J),78,July,2008
Daihatsu (J),79,August,2008
Daihatsu (J),64,September,2008
Daihatsu (J),108,October,2008
Daihatsu (J),62,November,2008
Daihatsu (J),46,December,2008
Daihatsu (J),40,January,2009
Daihatsu (J),57,February,2009
Daihatsu (J),108,March,2009
Daihatsu (J),74,April,2009
Daihatsu (J),38,May,2009
Daihatsu (J),44,June,2009
Daihatsu (J),46,July,2009
Daihatsu (J),37,August,2009
Daihatsu (J),43,September,2009
Daihatsu (J),55,October,2009
Daihatsu (J),29,November,2009
Daihatsu (J),37,December,2009
Daihatsu (J),34,January,2010
Daihatsu (J),26,February,2010
Daihatsu (J),58,March,2010
Daihatsu (J),46,April,2010
Daihatsu (J),57,May,2010
Daihatsu (J),36,June,2010
Daihatsu (J),31,July,2010
Daihatsu (J),33,August,2010
Daihatsu (J),48,September,2010
Daihatsu (J),53,October,2010
Daihatsu (J),42,November,2010
Daihatsu (J),54,December,2010
Daihatsu (J),18,January,2011
Daihatsu (J),34,February,2011
Daihatsu (J),18,March,2011
Daihatsu (J),24,April,2011
Daihatsu (J),19,May,2011
Daihatsu (J),18,June,2011
Daihatsu (J),28,July,2011
Daihatsu (J),27,August,2011
Daihatsu (J),38,September,2011
Daihatsu (J),22,October,2011
Daihatsu (J),23,November,2011
Daihatsu (J),25,December,2011
Daihatsu (J),8,January,2012
Daihatsu (J),28,February,2012
Daihatsu (J),24,March,2012
Daihatsu (J),29,April,2012
Daihatsu (J),31,May,2012
Daihatsu (J),18,June,2012
Daihatsu (J),15,July,2012
Daihatsu (J),29,August,2012
Daihatsu (J),16,September,2012
Daihatsu (J),16,October,2012
Daihatsu (J),14,November,2012
Daihatsu (J),18,December,2012
Daihatsu (J),1,January,2013
Dallara (I),1,June,2022
Dallara (I),1,September,2022
Dallara (I),1,March,2023
Dodge (USA),1,January,2000
Dodge (USA),1,January,2004
Dodge (USA),1,March,2004
Dodge (USA),3,April,2004
Dodge (USA),1,June,2004
Dodge (USA),1,January,2005
Dodge (USA),1,February,2005
Dodge (USA),1,October,2005
Dodge (USA),1,February,2006
Dodge (USA),1,May,2006
Dodge (USA),1,June,2006
Dodge (USA),1,September,2006
Dodge (USA),1,July,2007
Dodge (USA),1,November,2007
Dodge (USA),1,December,2007
Dodge (USA),1,October,2009
Dodge (USA),1,December,2009
Dodge (USA),1,February,2010
Dodge (USA),1,June,2010
Dodge (USA),1,December,2010
Dodge (USA),1,January,2011
Dodge (USA),1,February,2011
Dodge (USA),1,September,2011
Dodge (USA),3,February,2012
Dodge (USA),1,June,2012
Dodge (USA),1,September,2012
Dodge (USA),1,November,2012
Dodge (USA),1,January,2013
Dodge (USA),1,March,2013
Dodge (USA),1,June,2013
Dodge (USA),1,December,2013
Dodge (USA),1,January,2014
Dodge (USA),3,March,2014
Dodge (USA),2,April,2014
Dodge (USA),2,May,2014
Dodge (USA),3,June,2014
Dodge (USA),1,July,2014
Dodge (USA),2,September,2014
Dodge (USA),1,March,2015
Dodge (USA),1,July,2015
Dodge (USA),2,August,2015
Dodge (USA),1,September,2015
Dodge (USA),3,November,2015
Dodge (USA),1,January,2016
Dodge (USA),2,March,2016
Dodge (USA),1,April,2016
Dodge (USA),1,May,2016
Dodge (USA),4,July,2016
Dodge (USA),4,September,2016
Dodge (USA),1,October,2016
Dodge (USA),1,November,2016
Dodge (USA),1,March,2017
Dodge (USA),1,May,2017
Dodge (USA),1,June,2017
Dodge (USA),1,August,2017
Dodge (USA),1,September,2017
Dodge (USA),2,January,2018
Dodge (USA),1,February,2018
Dodge (USA),2,March,2018
Dodge (USA),2,April,2018
Dodge (USA),1,May,2018
Dodge (USA),1,June,2018
Dodge (USA),3,July,2018
Dodge (USA),3,August,2018
Dodge (USA),3,September,2018
Dodge (USA),1,January,2019
Dodge (USA),1,February,2019
Dodge (USA),2,March,2019
Dodge (USA),1,April,2019
Dodge (USA),1,May,2019
Dodge (USA),2,June,2019
Dodge (USA),2,July,2019
Dodge (USA),2,August,2019
Dodge (USA),1,September,2019
Dodge (USA),1,October,2019
Dodge (USA),1,December,2019
Dodge (USA),3,April,2020
Dodge (USA),4,June,2020
Dodge (USA),2,July,2020
Dodge (USA),1,August,2020
Dodge (USA),2,September,2020
Dodge (USA),1,March,2021
Dodge (USA),1,December,2021
Dodge (USA),1,July,2024
Donkevoort (NL),1,January,2005
Donkevoort (NL),1,May,2007
Donkevoort (NL),1,August,2013
DFSK (RC),1,March,2014
DFSK (RC),1,April,2021
DFSK (RC),2,November,2022
DFSK (RC),6,December,2022
DFSK (RC),2,January,2023
DFSK (RC),1,March,2023
DFSK (RC),3,May,2023
DFSK (RC),1,January,2024
DFSK (RC),2,July,2024
DFSK (RC),2,August,2024
DS (F),52,January,2016
DS (F),39,February,2016
DS (F),63,March,2016
DS (F),54,April,2016
DS (F),48,May,2016
DS (F),50,June,2016
DS (F),47,July,2016
DS (F),45,August,2016
DS (F),29,September,2016
DS (F),22,October,2016
DS (F),16,November,2016
DS (F),16,December,2016
DS (F),60,January,2017
DS (F),18,February,2017
DS (F),28,March,2017
DS (F),18,April,2017
DS (F),19,May,2017
DS (F),23,June,2017
DS (F),23,July,2017
DS (F),15,August,2017
DS (F),10,September,2017
DS (F),10,October,2017
DS (F),8,November,2017
DS (F),7,December,2017
DS (F),25,January,2018
DS (F),30,February,2018
DS (F),31,March,2018
DS (F),25,April,2018
DS (F),28,May,2018
DS (F),22,June,2018
DS (F),23,July,2018
DS (F),15,August,2018
DS (F),10,September,2018
DS (F),9,October,2018
DS (F),19,November,2018
DS (F),18,December,2018
DS (F),23,January,2019
DS (F),16,February,2019
DS (F),12,March,2019
DS (F),16,April,2019
DS (F),17,May,2019
DS (F),28,June,2019
DS (F),35,July,2019
DS (F),20,August,2019
DS (F),22,September,2019
DS (F),13,October,2019
DS (F),19,November,2019
DS (F),7,December,2019
DS (F),22,January,2020
DS (F),17,February,2020
DS (F),14,March,2020
DS (F),12,April,2020
DS (F),25,May,2020
DS (F),38,June,2020
DS (F),29,July,2020
DS (F),24,August,2020
DS (F),10,September,2020
DS (F),27,October,2020
DS (F),17,November,2020
DS (F),20,December,2020
DS (F),5,January,2021
DS (F),15,February,2021
DS (F),15,March,2021
DS (F),8,April,2021
DS (F),21,May,2021
DS (F),10,June,2021
DS (F),10,July,2021
DS (F),4,August,2021
DS (F),17,September,2021
DS (F),20,October,2021
DS (F),12,November,2021
DS (F),25,December,2021
DS (F),11,January,2022
DS (F),9,February,2022
DS (F),16,March,2022
DS (F),14,April,2022
DS (F),33,May,2022
DS (F),49,June,2022
DS (F),15,July,2022
DS (F),16,August,2022
DS (F),25,September,2022
DS (F),15,October,2022
DS (F),16,November,2022
DS (F),21,December,2022
DS (F),23,January,2023
DS (F),22,February,2023
DS (F),21,March,2023
DS (F),17,April,2023
DS (F),21,May,2023
DS (F),26,June,2023
DS (F),13,July,2023
DS (F),39,August,2023
DS (F),54,September,2023
DS (F),21,October,2023
DS (F),12,November,2023
DS (F),6,December,2023
DS (F),27,January,2024
DS (F),18,February,2024
DS (F),11,March,2024
DS (F),26,April,2024
DS (F),28,May,2024
DS (F),27,June,2024
DS (F),14,July,2024
DS (F),10,August,2024
Ferrari,1,January,2000
Ferrari,2,February,2000
Ferrari,8,March,2000
Ferrari,6,April,2000
Ferrari,8,May,2000
Ferrari,1,June,2000
Ferrari,6,July,2000
Ferrari,4,August,2000
Ferrari,1,October,2000
Ferrari,2,January,2001
Ferrari,2,February,2001
Ferrari,4,March,2001
Ferrari,6,April,2001
Ferrari,2,May,2001
Ferrari,4,June,2001
Ferrari,3,July,2001
Ferrari,4,August,2001
Ferrari,1,September,2001
Ferrari,1,January,2002
Ferrari,3,February,2002
Ferrari,6,March,2002
Ferrari,2,April,2002
Ferrari,3,May,2002
Ferrari,2,June,2002
Ferrari,4,July,2002
Ferrari,2,August,2002
Ferrari,3,September,2002
Ferrari,1,October,2002
Ferrari,1,November,2002
Ferrari,1,January,2003
Ferrari,2,February,2003
Ferrari,11,March,2003
Ferrari,5,April,2003
Ferrari,6,May,2003
Ferrari,4,June,2003
Ferrari,5,July,2003
Ferrari,4,August,2003
Ferrari,2,September,2003
Ferrari,3,October,2003
Ferrari,2,February,2004
Ferrari,5,March,2004
Ferrari,8,April,2004
Ferrari,5,May,2004
Ferrari,6,June,2004
Ferrari,6,July,2004
Ferrari,1,August,2004
Ferrari,1,September,2004
Ferrari,1,October,2004
Ferrari,1,January,2005
Ferrari,1,February,2005
Ferrari,6,March,2005
Ferrari,17,April,2005
Ferrari,4,May,2005
Ferrari,6,June,2005
Ferrari,2,July,2005
Ferrari,5,September,2005
Ferrari,2,November,2005
Ferrari,1,February,2006
Ferrari,9,March,2006
Ferrari,6,April,2006
Ferrari,6,May,2006
Ferrari,4,June,2006
Ferrari,2,July,2006
Ferrari,4,August,2006
Ferrari,2,September,2006
Ferrari,3,October,2006
Ferrari,3,February,2007
Ferrari,3,March,2007
Ferrari,9,April,2007
Ferrari,6,May,2007
Ferrari,5,June,2007
Ferrari,4,August,2007
Ferrari,2,September,2007
Ferrari,2,October,2007
Ferrari,1,January,2008
Ferrari,3,February,2008
Ferrari,5,March,2008
Ferrari,10,April,2008
Ferrari,9,May,2008
Ferrari,4,June,2008
Ferrari,1,August,2008
Ferrari,1,September,2008
Ferrari,1,October,2008
Ferrari,1,January,2009
Ferrari,1,February,2009
Ferrari,10,March,2009
Ferrari,11,April,2009
Ferrari,6,May,2009
Ferrari,8,June,2009
Ferrari,4,July,2009
Ferrari,1,August,2009
Ferrari,4,September,2009
Ferrari,4,October,2009
Ferrari,1,November,2009
Ferrari,4,December,2009
Ferrari,2,January,2010
Ferrari,5,March,2010
Ferrari,10,April,2010
Ferrari,5,May,2010
Ferrari,7,June,2010
Ferrari,7,July,2010
Ferrari,4,August,2010
Ferrari,1,September,2010
Ferrari,3,October,2010
Ferrari,1,November,2010
Ferrari,2,December,2010
Ferrari,2,January,2011
Ferrari,10,February,2011
Ferrari,1,March,2011
Ferrari,3,April,2011
Ferrari,2,May,2011
Ferrari,2,June,2011
Ferrari,5,July,2011
Ferrari,4,August,2011
Ferrari,2,September,2011
Ferrari,2,October,2011
Ferrari,2,November,2011
Ferrari,2,December,2011
Ferrari,5,January,2012
Ferrari,3,February,2012
Ferrari,8,March,2012
Ferrari,6,April,2012
Ferrari,3,May,2012
Ferrari,4,June,2012
Ferrari,2,July,2012
Ferrari,3,August,2012
Ferrari,5,October,2012
Ferrari,4,November,2012
Ferrari,3,December,2012
Ferrari,3,January,2013
Ferrari,6,February,2013
Ferrari,6,March,2013
Ferrari,13,April,2013
Ferrari,11,May,2013
Ferrari,6,June,2013
Ferrari,7,July,2013
Ferrari,2,September,2013
Ferrari,2,October,2013
Ferrari,1,November,2013
Ferrari,1,December,2013
Ferrari,8,January,2014
Ferrari,8,February,2014
Ferrari,5,March,2014
Ferrari,4,April,2014
Ferrari,4,May,2014
Ferrari,4,June,2014
Ferrari,6,July,2014
Ferrari,3,August,2014
Ferrari,2,September,2014
Ferrari,2,December,2014
Ferrari,1,January,2015
Ferrari,1,February,2015
Ferrari,2,March,2015
Ferrari,3,April,2015
Ferrari,1,May,2015
Ferrari,4,June,2015
Ferrari,4,July,2015
Ferrari,2,October,2015
Ferrari,4,February,2016
Ferrari,8,March,2016
Ferrari,6,April,2016
Ferrari,5,May,2016
Ferrari,2,July,2016
Ferrari,1,August,2016
Ferrari,3,September,2016
Ferrari,2,November,2016
Ferrari,3,December,2016
Ferrari,1,January,2017
Ferrari,3,February,2017
Ferrari,2,March,2017
Ferrari,7,April,2017
Ferrari,3,May,2017
Ferrari,5,June,2017
Ferrari,6,July,2017
Ferrari,2,September,2017
Ferrari,2,January,2018
Ferrari,11,April,2018
Ferrari,4,May,2018
Ferrari,4,June,2018
Ferrari,4,July,2018
Ferrari,10,August,2018
Ferrari,3,September,2018
Ferrari,1,November,2018
Ferrari,1,January,2019
Ferrari,2,February,2019
Ferrari,10,March,2019
Ferrari,8,April,2019
Ferrari,4,May,2019
Ferrari,3,June,2019
Ferrari,6,July,2019
Ferrari,9,August,2019
Ferrari,1,October,2019
Ferrari,2,November,2019
Ferrari,1,December,2019
Ferrari,1,January,2020
Ferrari,1,February,2020
Ferrari,2,March,2020
Ferrari,6,April,2020
Ferrari,10,May,2020
Ferrari,4,June,2020
Ferrari,12,July,2020
Ferrari,8,August,2020
Ferrari,9,September,2020
Ferrari,2,October,2020
Ferrari,1,November,2020
Ferrari,5,December,2020
Ferrari,1,January,2021
Ferrari,6,February,2021
Ferrari,14,March,2021
Ferrari,13,April,2021
Ferrari,11,May,2021
Ferrari,10,June,2021
Ferrari,12,July,2021
Ferrari,13,August,2021
Ferrari,9,September,2021
Ferrari,19,October,2021
Ferrari,4,November,2021
Ferrari,2,January,2022
Ferrari,8,February,2022
Ferrari,11,March,2022
Ferrari,25,April,2022
Ferrari,8,May,2022
Ferrari,12,June,2022
Ferrari,7,July,2022
Ferrari,7,August,2022
Ferrari,3,September,2022
Ferrari,6,October,2022
Ferrari,4,November,2022
Ferrari,4,December,2022
Ferrari,4,January,2023
Ferrari,3,February,2023
Ferrari,35,March,2023
Ferrari,8,April,2023
Ferrari,8,May,2023
Ferrari,13,June,2023
Ferrari,6,July,2023
Ferrari,10,August,2023
Ferrari,11,September,2023
Ferrari,7,October,2023
Ferrari,3,November,2023
Ferrari,7,December,2023
Ferrari,3,January,2024
Ferrari,10,February,2024
Ferrari,10,March,2024
Ferrari,10,April,2024
Ferrari,13,May,2024
Ferrari,12,June,2024
Ferrari,5,July,2024
Ferrari,13,August,2024
Fiat (H),1,March,2006
Fiat (H),1,September,2006
Fiat (H),121,October,2006
Fiat (H),2,November,2006
Fiat (H),4,December,2006
Fiat (H),47,January,2007
Fiat (H),73,February,2007
Fiat (H),98,March,2007
Fiat (H),89,April,2007
Fiat (H),73,May,2007
Fiat (H),67,June,2007
Fiat (H),56,July,2007
Fiat (H),86,August,2007
Fiat (H),96,September,2007
Fiat (H),122,October,2007
Fiat (H),76,November,2007
Fiat (H),47,December,2007
Fiat (H),87,January,2008
Fiat (H),54,February,2008
Fiat (H),54,March,2008
Fiat (H),51,April,2008
Fiat (H),49,May,2008
Fiat (H),49,June,2008
Fiat (H),127,July,2008
Fiat (H),40,August,2008
Fiat (H),38,September,2008
Fiat (H),41,October,2008
Fiat (H),39,November,2008
Fiat (H),93,December,2008
Fiat (H),49,January,2009
Fiat (H),34,February,2009
Fiat (H),36,March,2009
Fiat (H),46,April,2009
Fiat (H),50,May,2009
Fiat (H),61,June,2009
Fiat (H),18,July,2009
Fiat (H),12,August,2009
Fiat (H),86,September,2009
Fiat (H),59,October,2009
Fiat (H),89,November,2009
Fiat (H),42,December,2009
Fiat (H),33,January,2010
Fiat (H),70,February,2010
Fiat (H),78,March,2010
Fiat (H),43,April,2010
Fiat (H),28,May,2010
Fiat (H),72,June,2010
Fiat (H),48,July,2010
Fiat (H),71,August,2010
Fiat (H),71,September,2010
Fiat (H),72,October,2010
Fiat (H),37,November,2010
Fiat (H),26,December,2010
Fiat (H),28,January,2011
Fiat (H),40,February,2011
Fiat (H),82,March,2011
Fiat (H),54,April,2011
Fiat (H),45,May,2011
Fiat (H),55,June,2011
